id;gender;education;age;agree;conscientious;extraversion;neuroticism;openness
6;female;coll;21;4,6;5,6;5,6;3,0;5,0
8;male;fin HS;19;2,6;3,4;2,4;4,2;4,2
9;male;in HS;19;3,6;4,0;3,4;3,6;5,0
11;male;in HS;21;4,6;4,2;4,2;3,0;4,8
15;male;in HS;17;2,6;5,0;4,2;2,6;4,4
23;male;grad deg;68;5,6;2,8;4,0;2,0;5,4
24;female;fin HS;27;5,4;3,8;5,2;4,8;5,8
25;male;in HS;18;4,8;5,2;5,0;2,0;5,4
26;female;coll;20;5,0;4,8;6,0;1,8;4,6
27;female;grad deg;51;4,0;5,8;4,0;3,2;5,6
29;female;coll;33;3,8;4,2;5,2;2,8;4,0
30;female;coll;18;4,8;3,6;5,4;3,4;4,8
32;female;coll;41;5,6;4,6;5,0;2,4;5,0
33;male;grad deg;23;5,2;3,2;1,2;2,6;4,8
35;male;coll;20;3,8;3,4;3,6;2,0;4,4
36;male;coll;23;3,2;3,0;3,0;3,8;3,6
37;male;coll;20;5,2;4,4;1,8;2,2;4,0
38;male;coll;21;3,8;4,8;3,6;5,0;4,2
40;female;grad deg;48;4,6;5,2;4,6;1,4;5,8
41;female;coll;40;5,4;3,8;3,8;2,6;4,0
42;female;coll grad;27;3,8;4,0;2,8;1,8;2,6
43;male;in HS;18;4,8;4,2;3,8;2,2;4,2
44;male;coll grad;20;4,0;3,2;3,0;3,2;3,2
45;female;grad deg;24;5,8;4,2;4,8;2,2;5,2
46;male;coll;25;6,0;3,8;4,0;3,6;5,2
47;male;fin HS;22;3,4;3,2;3,4;3,8;3,6
48;female;in HS;18;5,0;2,4;3,6;3,0;4,2
49;female;in HS;43;3,8;4,4;3,4;4,6;4,0
50;male;coll;20;6,0;5,0;6,0;2,2;5,6
51;female;coll;24;5,6;3,2;4,6;4,8;4,8
52;female;coll grad;26;5,2;4,8;3,8;2,8;3,8
53;male;coll grad;26;4,4;4,0;5,4;1,4;4,4
54;female;coll;25;4,0;4,0;3,2;5,4;3,0
55;male;coll grad;25;6,0;5,2;5,4;2,4;4,8
56;male;grad deg;26;4,6;3,8;4,2;3,6;5,8
