id;gender;education;age;ACT;SATV;SATQ
1;female;3;19;24;500;500
2;female;3;23;35;600;500
3;female;3;20;21;480;470
4;male;4;27;26;550;520
5;male;2;33;31;600;550
6;male;5;26;28;640;640
7;female;5;30;36;610;500
8;male;3;19;22;520;560
9;female;4;23;22;400;600
10;female;5;40;35;730;800
11;male;3;23;32;760;710
12;female;4;34;29;710;600
13;male;4;32;21;600;600
14;female;4;41;35;780;725
15;female;3;20;27;640;630
16;female;4;24;27;640;590
17;female;3;19;33;640;650
18;female;4;24;32;700;620
19;male;4;35;28;640;580
20;female;4;46;32;610;680
21;female;2;55;28;620;450
22;female;4;25;30;600;500
23;male;0;18;31;750;700
24;male;4;50;30;600;600
25;male;4;35;31;460;540
26;male;3;21;30;680;650
27;female;2;34;30;700;700
28;female;4;37;21;375;385
29;female;5;27;28;450;450
30;female;5;29;33;600;500
31;male;0;18;28;500;500
32;male;3;23;24;500;710
33;male;3;22;27;520;710
34;male;4;23;31;620;570
35;male;4;54;33;660;580
36;female;3;20;29;600;600
37;male;2;41;28;500;600
38;female;5;52;24;630;570
39;female;3;18;27;630;540
40;male;5;35;31;710;690
41;male;4;27;28;530;610
42;female;4;23;29;800;610
43;female;5;39;30;700;700
44;female;5;30;36;660;610
45;male;5;53;36;560;740
46;female;3;17;26;770;540
47;male;4;27;33;660;650
48;male;4;30;27;800;600
49;female;4;34;23;440;440
50;female;5;27;33;800;690
51;male;4;35;35;670;780
52;female;4;24;28;680;600
53;female;4;23;28;610;590
54;female;5;27;33;600;760
55;female;4;23;34;800;740
56;male;4;28;26;550;700
57;female;4;24;36;650;650
58;female;3;20;28;800;640
59;female;5;32;18;429;450
60;female;3;19;34;800;760
61;male;5;48;34;700;700
62;male;5;43;32;550;750
63;female;3;33;36;600;650
64;male;4;35;34;600;760
65;male;0;18;21;550;550
66;female;4;31;31;560;680
67;male;0;17;22;490;530
68;female;4;23;29;650;610
69;female;4;29;29;600;600
70;female;3;21;24;550;550
71;male;2;19;26;450;450
72;male;3;19;29;520;740
73;female;5;27;28;680;530
74;male;4;40;32;650;750
75;female;5;35;32;650;700
76;female;4;24;27;565;565
77;female;3;30;28;680;590
78;female;3;17;32;540;590
79;female;2;27;15;375;375
80;female;5;40;21;600;550
81;male;4;36;26;500;500
82;male;5;30;25;600;500
83;male;5;25;31;700;760
84;female;5;29;26;580;580
85;female;5;38;28;600;590
86;female;5;32;33;650;700
87;female;5;47;24;520;530
88;female;3;19;32;600;550
89;male;4;23;31;700;700
90;female;3;38;30;450;250
91;male;4;23;32;660;720
92;male;3;19;36;780;690
93;female;4;21;32;680;700
94;male;4;23;30;780;760
95;female;4;29;27;640;600
96;female;5;24;35;790;720
97;male;5;31;29;700;600
98;male;4;53;33;633;729
99;female;3;20;30;240;600
100;female;4;24;32;790;660
101;female;5;50;26;600;650
102;male;4;23;36;680;750
103;female;4;23;36;620;660
104;male;5;23;27;540;680
105;female;5;22;26;600;700
106;male;4;23;29;600;610
107;female;5;65;23;700;650
108;female;3;20;23;520;550
109;male;4;26;29;690;710
110;male;5;39;32;720;480
111;female;5;26;32;700;740
112;male;3;21;30;620;720
113;male;4;33;28;530;630
114;female;4;25;23;580;560
115;female;4;22;36;580;700
116;female;5;26;26;550;700
117;female;4;33;36;500;500
118;female;3;21;34;600;660
119;female;4;23;23;480;500
120;female;3;19;28;450;500
121;male;3;23;23;600;550
122;female;3;19;28;540;650
123;male;5;37;32;640;800
124;female;3;21;16;510;400
125;male;5;34;29;650;600
126;female;5;30;29;600;730
127;female;3;19;29;570;560
128;female;3;19;32;660;700
129;female;3;20;26;550;500
130;male;1;45;35;450;500
131;female;4;28;28;500;500
132;female;4;25;25;560;570
133;female;5;57;23;650;400
134;female;5;62;36;750;790
135;female;4;34;30;660;600
136;female;4;36;30;600;600
137;female;4;24;33;760;620
138;female;5;61;31;620;700
139;male;3;21;28;580;720
140;female;4;30;35;420;680
141;female;3;22;32;720;610
142;female;3;20;26;400;690
143;female;3;22;34;690;770
144;female;3;22;34;690;770
145;female;5;43;32;780;550
146;female;5;26;24;540;530
147;male;5;36;32;650;720
148;male;2;22;23;420;320
149;male;0;17;35;800;800
150;male;0;16;24;800;800
151;female;0;17;30;600;600
152;male;0;16;26;800;800
153;female;5;58;26;740;700
154;female;0;16;30;700;700
155;male;0;17;34;760;745
156;female;1;18;19;500;500
157;female;4;23;23;570;630
158;female;5;27;31;725;465
159;female;4;27;28;675;500
160;male;4;28;32;580;800
161;female;4;35;25;350;350
162;male;5;22;26;500;600
163;female;3;18;31;720;650
164;female;5;27;34;700;760
165;male;5;33;31;540;720
166;female;1;17;30;700;700
167;male;5;40;36;700;750
168;female;5;57;32;603;695
169;male;5;43;33;590;680
170;female;3;19;29;640;670
171;female;5;40;25;620;540
172;female;4;37;30;500;500
173;female;5;38;34;500;500
174;male;2;26;32;800;800
175;male;2;26;29;700;680
176;male;3;20;25;540;640
177;female;5;40;32;600;600
178;male;4;23;33;700;680
179;male;4;38;35;600;600
180;female;0;17;26;650;650
181;male;3;21;24;460;580
182;male;4;33;23;700;400
183;female;4;22;35;800;750
184;female;1;17;27;750;678
185;male;5;42;28;600;530
186;female;3;20;27;600;600
187;male;5;57;28;650;675
188;female;5;33;32;640;630
189;female;3;22;34;740;560
190;female;5;58;27;550;575
191;male;3;20;31;630;650
192;female;3;22;17;600;500
193;female;3;24;25;350;350
194;female;4;25;36;700;700
195;male;3;24;29;650;610
196;female;3;19;29;650;600
197;female;5;24;28;650;650
198;female;4;26;28;620;600
199;female;4;37;30;679;678
200;male;5;44;30;390;720
201;female;5;35;31;790;660
202;male;4;25;29;650;650
203;female;4;30;28;620;660
204;female;3;23;26;420;450
205;female;0;18;31;640;670
206;female;0;17;25;640;620
207;female;0;17;21;580;480
208;female;4;26;24;500;500
209;female;2;26;36;550;555
210;male;0;18;34;770;800
211;male;1;18;32;700;710
212;male;1;18;23;560;630
213;female;0;18;36;800;770
214;male;1;17;34;730;710
215;male;5;37;28;580;600
216;male;1;18;19;440;560
217;female;5;30;31;650;550
218;female;3;23;21;245;350
219;female;3;20;19;400;450
220;male;4;36;22;450;460
221;male;4;50;30;700;700
222;female;3;18;18;380;540
223;male;3;21;36;710;680
224;male;0;18;28;590;620
225;female;1;21;24;625;650
226;female;3;20;28;760;620
227;female;4;32;23;490;580
228;female;0;17;30;770;660
229;female;5;24;22;550;600
230;male;3;30;23;540;430
231;female;3;19;25;520;580
232;male;4;28;25;520;670
233;female;3;21;24;620;480
234;male;2;21;30;600;600
235;female;4;22;30;720;650
