country;continent;year;lifeExp;pop;gdpPercap;language_group;region_europe;econ_block
Albania;Europe;2007;76,423;3600523;5937,029526;Other;South;Post-Communist
Austria;Europe;2007;79,829;8199783;36126,492700;Germanic;West;Western Core
Belgium;Europe;2007;79,441;10392226;33692,605080;Germanic;West;Western Core
Bosnia and Herzegovina;Europe;2007;74,852;4552198;7446,298803;Slavic;East;Post-Communist
Bulgaria;Europe;2007;73,005;7322858;10680,792820;Slavic;East;Post-Communist
Croatia;Europe;2007;75,748;4493312;14619,222720;Slavic;East;Post-Communist
Czech Republic;Europe;2007;76,486;10228744;22833,308510;Slavic;East;Post-Communist
Denmark;Europe;2007;78,332;5468120;35278,418740;Germanic;North;Nordic
Finland;Europe;2007;79,313;5238460;33207,084400;Other;North;Nordic
France;Europe;2007;80,657;61083916;30470,016700;Romance;West;Western Core
Germany;Europe;2007;79,406;82400996;32170,374420;Germanic;West;Western Core
Greece;Europe;2007;79,483;10706290;27538,411880;Romance;South;Southern EU
Hungary;Europe;2007;73,338;9956108;18008,944440;Slavic;East;Post-Communist
Iceland;Europe;2007;81,757;301931;36180,789190;Germanic;North;Nordic
Ireland;Europe;2007;78,885;4109086;40675,996350;Germanic;West;Western Core
Italy;Europe;2007;80,546;58147733;28569,719700;Romance;South;Southern EU
Montenegro;Europe;2007;74,543;684736;9253,896111;Slavic;South;Post-Communist
Netherlands;Europe;2007;79,762;16570613;36797,933320;Germanic;West;Western Core
Norway;Europe;2007;80,196;4627926;49357,190170;Germanic;North;Nordic
Poland;Europe;2007;75,563;38518241;15389,924680;Slavic;East;Post-Communist
Portugal;Europe;2007;78,098;10642836;20509,647770;Romance;South;Southern EU
Romania;Europe;2007;72,476;22276056;10808,475610;Romance;East;Post-Communist
Serbia;Europe;2007;74,002;10150265;9786,534714;Slavic;East;Post-Communist
Slovak Republic;Europe;2007;74,663;5447502;18678,314350;Slavic;East;Post-Communist
Slovenia;Europe;2007;77,926;2009245;25768,257590;Slavic;East;Post-Communist
Spain;Europe;2007;80,941;40448191;28821,063700;Romance;South;Southern EU
Sweden;Europe;2007;80,884;9031088;33859,748350;Germanic;North;Nordic
Switzerland;Europe;2007;81,701;7554661;37506,419070;Germanic;West;Western Core
Turkey;Europe;2007;71,777;71158647;8458,276384;Other;East;Other
United Kingdom;Europe;2007;79,425;60776238;33203,261280;Germanic;West;Western Core
