"PartID";"Age";"Gender";"fmps1";"fmps2";"fmps3";"fmps4";"fmps5";"fmps6";"fmps7";"fmps8";"fmps9";"fmps10";"fmps11";"fmps12";"fmps13";"fmps14";"fmps15";"fmps16";"fmps17";"fmps18";"fmps19";"fmps20";"fmps21";"fmps22";"fmps23";"fmps24";"fmps25";"fmps26";"fmps27";"fmps28";"fmps29";"fmps30";"fmps31";"fmps32";"fmps33";"fmps34";"fmps35";"dass1";"dass2";"dass3";"dass4";"dass5";"dass6";"dass7";"dass8";"dass9";"dass10";"dass11";"dass12";"dass13";"dass14";"dass15";"dass16";"dass17";"dass18";"dass19";"dass20";"dass21";"sc1";"sc2";"sc3";"sc4";"sc5";"sc6";"sc7";"sc8";"sc9";"sc10";"sc11";"sc12";"sc13";"sc14";"sc15";"sc16";"sc17";"sc18";"sc19";"sc20";"sc21";"sc22";"sc23";"sc24";"sc25";"sc26";"sc1_R";"sc2_R";"sc4_R";"sc6_R";"sc8_R";"sc11_R";"sc13_R";"sc16_R";"sc18_R";"sc20_R";"sc21_R";"sc25_R";"sc24_R"
1;23;1;3;5;1;4;1;4;3;4;1;2;4;3;1;3;1;3;3;2;3;2;4;2;2;3;1;2;4;4;4;4;4;3;1;3;1;2;3;2;1;2;2;4;4;4;2;1;1;2;2;1;1;2;2;2;1;1;5;4;4;5;2;4;1;3;4;1;5;2;4;5;2;4;4;3;1;3;4;4;3;3;4;2;1;2;1;2;3;1;2;2;3;3;2;2;3
2;18;0;4;4;1;4;3;4;3;4;1;1;3;4;1;1;1;4;2;1;1;3;1;1;1;3;1;3;4;1;3;2;4;2;2;1;1;1;2;1;1;2;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;2;1;4;1;3;2;2;1;4;2;1;4;2;4;3;2;5;2;4;1;1;3;4;1;1;4;4;5;5;4;5;5;4;4;4;5;5;5;5
3;21;0;4;3;1;4;3;4;2;4;2;2;2;2;2;3;2;4;3;2;4;4;2;4;2;2;2;4;4;1;3;1;2;2;2;2;3;2;1;2;1;3;3;1;1;2;1;3;3;1;2;1;1;1;2;1;1;1;2;3;4;1;4;2;4;3;3;2;3;4;3;3;4;2;3;2;4;4;2;4;3;4;4;4;4;3;5;4;3;3;3;4;4;2;4;2;2
5;21;1;1;3;1;1;1;4;3;3;1;1;1;1;1;1;1;5;1;1;1;1;1;4;1;3;1;1;4;2;3;1;3;1;1;1;3;1;2;1;1;3;2;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;5;1;5;1;5;1;5;5;1;5;1;5;5;1;5;1;5;1;1;5;5;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5
6;23;0;4;5;2;3;3;4;4;4;3;3;4;4;3;3;2;3;3;4;4;3;3;4;2;2;4;4;4;3;4;3;4;3;3;3;3;2;1;3;1;3;4;2;2;2;4;4;3;3;2;1;2;4;4;2;2;3;4;4;2;3;1;4;1;5;3;1;4;1;4;2;2;4;2;4;1;3;2;1;1;3;2;2;2;2;3;2;1;2;2;2;2;3;4;4;3
7;18;0;4;3;2;2;2;4;3;4;3;2;2;2;3;2;2;3;4;3;3;2;2;2;2;2;2;3;4;2;3;2;3;4;4;2;2;3;1;2;1;3;2;2;2;3;2;2;2;3;2;2;2;1;2;2;1;1;4;4;4;3;2;4;3;3;2;3;2;3;4;2;3;4;3;4;2;3;3;3;2;3;3;2;2;2;3;2;3;4;2;2;2;3;3;3;3
8;48;1;4;3;2;2;2;3;2;4;1;3;2;4;2;2;2;4;3;3;4;4;3;2;1;3;2;2;2;1;2;3;3;2;4;2;2;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;4;3;4;2;4;2;4;4;2;3;3;4;4;2;3;3;3;2;3;4;4;2;4;4;4;4;3;4;4;4;3;4;3;4;3;2;4
9;21;0;4;5;2;3;4;4;5;5;3;4;4;5;3;4;3;4;5;4;5;3;2;3;2;5;2;3;4;3;5;5;5;5;5;2;3;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;4;5;3;4;3;3;2;3;3;3;3;2;4;2;3;3;3;4;3;5;4;2;2;3;3;3;2;1;2;3;3;3;2;3;2;1;2;3;3
10;23;1;4;5;4;4;4;5;5;5;4;4;2;5;4;4;3;5;5;5;5;4;5;1;4;4;5;2;5;4;4;5;4;1;4;4;2;3;3;2;2;2;3;1;2;3;3;3;3;2;3;1;1;1;3;1;3;1;4;4;2;3;2;5;1;4;2;2;4;2;3;4;2;3;2;4;2;4;4;2;2;4;4;2;2;2;3;1;2;2;3;3;2;2;2;2;2
12;21;0;4;5;3;4;3;5;5;5;3;4;4;5;3;3;3;4;5;4;5;4;4;2;3;4;3;2;5;3;5;5;5;2;4;3;2;4;3;1;1;2;4;3;3;2;1;3;3;1;3;2;1;1;4;2;1;1;3;5;3;4;2;4;3;4;5;3;4;3;2;4;3;3;4;2;3;3;4;2;3;2;3;2;3;1;2;2;2;2;4;3;4;3;2;3;4
14;20;0;4;3;3;3;4;2;3;4;4;3;3;2;2;2;3;2;3;3;2;4;3;5;2;2;2;4;3;4;3;2;2;2;2;2;2;1;2;3;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;2;4;3;3;3;3;2;2;2;3;5;3;2;3;4;3;3;3;3;3;3;4;3;3;3;3;4;4;3;3;3;4;4;1;3;3;3;3;3;3;2;2
15;45;0;4;4;2;3;2;4;4;4;1;3;4;4;2;3;3;4;2;4;4;3;2;2;1;3;2;3;4;1;4;3;4;2;2;2;2;3;2;2;1;3;3;1;2;1;1;2;2;2;2;1;1;1;2;1;2;1;4;2;2;1;2;1;2;3;3;2;2;2;2;3;3;2;3;1;2;3;3;2;2;3;2;2;2;4;5;5;3;4;4;4;5;3;3;4;3
16;21;0;3;4;1;1;1;4;4;4;3;2;2;5;2;2;1;5;4;3;5;2;4;2;2;4;2;1;4;4;4;5;5;2;3;2;1;3;1;2;1;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;1;4;3;3;4;3;4;3;4;4;3;4;2;4;2;2;4;3;4;2;4;3;2;4;3;4;2;2;3;2;2;2;2;2;2;2;2;3;2;3
18;19;0;2;5;1;5;1;5;3;5;5;5;1;5;4;5;1;5;3;4;4;1;5;1;3;3;3;1;4;4;4;4;4;2;2;4;1;4;2;2;1;4;3;1;3;4;4;3;4;2;2;1;2;4;3;3;2;2;5;5;5;5;2;5;3;3;4;3;5;1;5;3;3;5;3;3;3;5;5;3;1;4;5;3;1;1;1;1;3;1;1;1;3;1;1;1;2
19;19;0;3;5;2;4;2;4;4;5;2;3;2;3;2;2;1;5;2;2;3;4;2;1;1;4;2;2;4;1;3;3;5;2;2;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;4;2;3;3;4;3;5;4;2;3;3;4;3;2;5;3;3;2;2;2;4;3;2;3;3;3;4;3;3;4;3;4;3;4;4;4;3
