crl.tot;dollar;bang;money;n000;make;yesno
278;0;0.778;0;0;0;TRUE
1028;0.18;0.372;0.43;0.43;0.21;TRUE
2259;0.184;0.276;0.06;1.16;0.06;TRUE
191;0;0.137;0;0;0;TRUE
191;0;0.135;0;0;0;TRUE
54;0;0;0;0;0;TRUE
112;0.054;0.164;0;0;0;TRUE
49;0;0;0;0;0;TRUE
1257;0.203;0.181;0.15;0;0.15;TRUE
749;0.081;0.244;0;0.19;0.06;TRUE
21;0;0.462;0;0;0;TRUE
184;0;0.663;0;0;0;TRUE
261;0;0.786;0;0;0;TRUE
25;0;0;0;0;0;TRUE
205;0;0.357;0;0.35;0;TRUE
249;0.063;0.572;0.42;0;0;TRUE
107;0;0.428;0;0;0;TRUE
461;0.37;1.975;0;0.7;0;TRUE
70;0;0.455;0;0;0;TRUE
186;0.496;0.055;0.63;0.31;0;TRUE
23;0;0.729;0;0;0;TRUE
2259;0.046;0.25;0;0.05;0.05;TRUE
34;0;0.809;0;0;0;TRUE
69;0;0.667;0;0;0;TRUE
82;0.196;0.392;0;0;0;TRUE
2258;0.046;0.25;0;0.05;0.05;TRUE
82;0.196;0.392;0;0;0;TRUE
47;0;0.368;3.33;0;0;TRUE
36;0;0.352;0;0;0;TRUE
129;0;0.091;0.65;0;0;TRUE
59;0;0.886;0;0;1.17;TRUE
43;0;2.112;0;0;0;TRUE
89;0.091;0;0.27;0;0;TRUE
17;0.302;0;0;0;0;TRUE
264;0;0;0;0;0;TRUE
25;0;1.543;0;0;0;TRUE
29;0;0.873;0;0;0;TRUE
239;0.244;0.488;0;0.48;0;TRUE
186;0;0.963;0;0;0;TRUE
285;0;0.75;0;0;0;TRUE
226;0.207;0.207;0.61;0.3;0.3;TRUE
28;0;0.671;0;0;0;TRUE
28;0;0.711;0;0;0;TRUE
68;0;0.426;0;0;0;TRUE
339;0.036;0.813;0;0;0;TRUE
774;0.068;1.318;0.3;0;0.15;TRUE
442;0.167;0.01;0.06;0.84;0.18;TRUE
94;0;0.17;0;0.49;0.49;TRUE
3040;0.756;0.325;0.36;1.05;0.46;TRUE
898;0.23;0.278;0.26;0.19;0.46;TRUE
33;0;0;0;0;0;TRUE
179;0.332;0.498;0;1.83;0.73;TRUE
750;0.071;0.244;0;0.19;0.06;TRUE
69;0.596;0.198;1.26;0;0;TRUE
176;0.333;0.5;0;1.83;0.73;TRUE
106;0;1.478;0;0;0;TRUE
146;0.061;0.615;0;0;0;TRUE
51;0;0;0;0;0;TRUE
200;0;1.501;0;0;0;TRUE
284;0;0.669;0;0;0;TRUE
249;0;0;0;0;0;TRUE
66;0;0.175;0.23;0;0.23;TRUE
75;0;0;0;0;0;TRUE
96;0.048;0.048;0;0;0;TRUE
180;0.019;0.019;0;0.12;0.12;TRUE
121;0;2.205;0;0;0.66;TRUE
194;0.294;0.589;0.48;0;0;TRUE
17;0;0.5;0;0;0;TRUE
303;0.351;1.053;0.3;0;0.3;TRUE
141;0.1;0;0;1.96;0;TRUE
290;0;0.537;0;0;0;TRUE
187;0;0.877;0;0;0;TRUE
281;0;0.807;0;0;0;TRUE
110;0.223;0.298;0;0.46;0;TRUE
236;0.243;0.486;0;0.48;0;TRUE
318;0;1.366;0;1.88;0;TRUE
100;0.082;0.165;0;0;0;TRUE
1066;0.234;0.437;0.75;0.44;0.75;TRUE
175;0;0.132;0;0.62;0;TRUE
10;0.338;0;0;0;0;TRUE
114;0;1.431;0;0;0;TRUE
519;0;0.197;0.47;0;0;TRUE
61;0;0.495;0;0.72;0;TRUE
43;0;0.724;0;1.28;0;TRUE
118;0;0.834;0;0;0;TRUE
213;0.214;0.571;0.46;0;0;TRUE
158;0.061;0.061;0.38;0;0;TRUE
107;0;0.268;0;0;0;TRUE
845;0.085;0.096;0.06;0;0.06;TRUE
38;0;0;0;0;0;TRUE
194;0.333;1.083;0;0;0;TRUE
3038;0.764;0.322;0.34;1.05;0.47;TRUE
2453;0.532;0.613;0.63;0.59;0.59;TRUE
2453;0.531;0.612;0.63;0.59;0.59;TRUE
102;0.823;0.082;0;1.38;0.46;TRUE
91;0;0;0;0.46;0;TRUE
313;0;1.284;0;0;0;TRUE
222;0;0.736;0;0;0;TRUE
191;0;0.31;0;0.6;0;TRUE
114;0.527;0.461;0.41;0;1.24;TRUE
30;0;0.38;0;0;0;TRUE
292;0;0.662;0;0.64;0;TRUE
66;0;1.529;0;0;0;TRUE
292;0;0.662;0;0.64;0;TRUE
66;0;1.529;0;0;0;TRUE
292;0;0.662;0;0.64;0;TRUE
66;0;1.529;0;0;0;TRUE
168;0;0.462;0;0.79;0;TRUE
66;0;1.529;0;0;0;TRUE
74;0;0;0;0;0;TRUE
36;0;1.907;0;0;0;TRUE
67;0;0;0;0;0;TRUE
211;0.177;0;0;0;0;TRUE
78;0;0;0;0;0;TRUE
507;0.119;0;0.12;1.13;0.12;TRUE
146;0;0.542;0;0;0;TRUE
588;0.118;0.054;0.2;0.15;0.05;TRUE
583;0.118;0.054;0.2;0.15;0.05;TRUE
308;0;0.542;0;0;0;TRUE
195;0.331;1.158;0;0;0;TRUE
588;0.118;0.054;0.2;0.15;0.05;TRUE
583;0.118;0.054;0.2;0.15;0.05;TRUE
2413;1.281;0.335;0.5;0.5;0.5;TRUE
982;0.024;0.271;0;0;0;TRUE
278;0.322;0.092;0;0.61;0;TRUE
657;0.054;1.194;0.33;0;0.16;TRUE
164;0.178;0.089;0;0;0.5;TRUE
170;0;0.427;0.59;0;0;TRUE
114;0.212;0.706;0;0;0;TRUE
450;0.149;0.97;0.41;0.82;0.41;TRUE
285;0.179;0.598;0;0.38;0;TRUE
95;0;0.121;0.4;0;0;TRUE
144;0;0.606;0;0;0;TRUE
174;0.174;0.299;0;0.64;0;TRUE
76;0.431;0.215;0;2.53;0;TRUE
730;0.16;0.16;0;0.19;0;TRUE
730;0.16;0.16;0;0.19;0;TRUE
304;0.541;0.12;0.33;1.66;1;TRUE
11;0;0;0;0;0;TRUE
69;0;0;0;0;0;TRUE
304;0.541;0.12;0.33;1.66;1;TRUE
36;0.279;0.558;0;0;0;TRUE
2413;1.281;0.335;0.5;0.5;0.5;TRUE
36;0.279;0.558;0;0;0;TRUE
13;0;0.715;0;0;0;TRUE
77;0.431;0.215;0;2.53;0;TRUE
304;0.541;0.12;0.33;1.66;1;TRUE
1001;0.023;0.865;0;0;0;TRUE
123;0.126;0.063;0.72;0;0.36;TRUE
131;0.121;0.565;0.27;0;0;TRUE
114;0;0.261;1.56;0;0.39;TRUE
190;0.33;1.32;0;0;0;TRUE
33;0;0.2;0;0;0.67;TRUE
120;0;1.055;0;0;0;TRUE
203;0;0.484;0;0;0;TRUE
38;0;0;0;0;0;TRUE
291;0.117;0.117;0;0;0;TRUE
117;0;0.135;0;0;0;TRUE
200;0;1.088;0.42;0;0.42;TRUE
607;0.185;0;0;0;0;TRUE
642;0.146;0.146;0;0;0;TRUE
102;0.816;0.081;0;1.38;0.46;TRUE
437;0;0.265;0;0;0.14;TRUE
119;0;0;0;0;0;TRUE
102;0.816;0.081;0;1.38;0.46;TRUE
111;0;0.517;0.62;0;0.62;TRUE
